qbuy=222, qsell=448, result=3.72, curtime=23.06.01 07:47:04
time     oper price  orderid     q   qd  qr  canceltime orders   operations   status
16:01:43 s    5.324  36328307496 2   2   0   None       18:02:09     18:02:58     executed
19:06:41 s    5.324  36334818564 2   2   0   None       None         19:07:44     executed
14:22:10 b    5.324  36324409536 2   2   0   None       None         14:23:16     executed
14:22:11 s    5.33   36324410320 2   2   0   None       18:45:11     None         executed
16:01:44 s    5.33   36328308348 2   2   0   None       18:45:11     None         executed
19:06:43 s    5.33   36334818892 2   2   0   None       19:20:13     19:21:00     executed
14:33:23 b    5.32   36324855660 2   2   0   None       None         14:33:38     executed
14:33:25 s    5.324  36324856402 2   2   0   None       18:02:09     18:02:58     executed
16:01:45 s    5.324  36328309023 2   2   0   None       18:02:09     18:02:58     executed
19:06:44 s    5.324  36334819256 2   2   0   None       None         19:07:44     executed
14:37:12 b    5.32   36325039673 2   2   0   None       None         14:37:30     executed
14:37:13 s    5.32   36325040892 2   2   0   None       15:04:41     15:05:00     executed
16:01:47 s    5.32   36328311233 2   2   0   None       17:44:05     17:44:53     executed
19:06:45 s    5.32   36334820109 2   2   0   None       None         19:07:44     executed
14:37:20 b    5.32   36325044748 2   2   0   None       None         14:37:30     executed
14:37:21 s    5.324  36325045908 2   2   0   None       18:02:09     18:02:58     executed
16:01:48 s    5.324  36328314498 2   2   0   None       18:02:09     18:02:58     executed
19:06:47 s    5.324  36334821393 2   2   0   None       None         19:07:44     executed
14:41:01 b    5.32   36325196084 2   2   0   None       None         14:41:27     executed
14:41:02 s    5.32   36325197364 2   2   0   None       15:04:47     15:05:00     executed
16:01:50 s    5.32   36328316345 2   2   0   None       17:44:05     17:44:53     executed
19:06:48 s    5.32   36334821968 2   2   0   None       None         19:07:44     executed
14:41:34 b    5.32   36325225248 2   2   0   None       None         14:42:35     executed
14:41:35 s    5.324  36325226140 2   2   0   None       18:02:09     18:02:58     executed
16:01:51 s    5.324  36328317791 2   2   0   None       18:02:09     18:02:58     executed
19:06:49 s    5.324  36334822690 2   2   0   None       None         19:07:44     executed
14:41:47 b    5.316  36325236197 2   2   0   None       None         14:42:35     executed
14:41:49 s    5.32   36325236935 2   2   0   None       15:05:00     15:05:00     executed
16:01:53 s    5.32   36328318486 2   2   0   None       17:44:05     17:44:53     executed
19:06:51 s    5.32   36334823201 2   2   0   None       None         19:07:44     executed
14:42:01 b    5.98   36325244855 2   2   0   None       None         14:42:35     executed
14:42:03 s    5.316  36325248118 2   2   0   None       14:42:27     14:42:35     executed
14:42:25 b    5.32   36325263203 2   2   0   None       None         14:42:35     executed
14:42:27 s    5.32   36325264014 2   2   0   None       18:01:01     18:01:58     executed
16:01:54 s    5.32   36328320272 2   2   0   None       18:01:01     18:01:58     executed
19:06:52 s    5.32   36334823748 2   2   0   None       None         19:07:44     executed
14:42:52 b    5.316  36325279294 2   2   0   None       None         14:43:35     executed
14:42:54 s    5.316  36325280049 2   2   0   None       14:43:56     14:44:31     executed
16:01:56 s    5.316  36328322153 2   2   0   None       16:42:29     16:43:04     executed
19:06:53 s    5.32   36334824027 2   2   0   None       None         19:07:44     executed
14:54:45 b    5.31   36325722164 2   2   0   None       None         14:55:09     executed
14:54:47 s    5.31   36325722909 2   2   0   None       14:55:09     14:56:07     executed
14:54:59 b    5.31   36325729432 2   2   0   None       None         14:55:09     executed
14:55:00 s    5.316  36325730242 2   2   0   None       15:04:22     15:05:00     executed
16:01:57 s    5.316  36328322862 2   2   0   None       16:42:29     16:43:04     executed
19:06:55 s    5.32   36334824351 2   2   0   None       None         19:07:44     executed
14:56:52 b    5.31   36325809049 2   2   0   None       None         14:57:09     executed
14:56:53 s    5.31   36325809788 2   2   0   None       15:01:46     15:02:00     executed
16:01:59 s    5.31   36328323753 2   2   0   None       16:02:59     16:03:13     executed
19:06:56 s    5.32   36334824678 2   2   0   None       None         19:07:44     executed
14:58:24 b    5.3    36325887606 2   2   0   None       None         14:59:05     executed
14:58:25 s    5.304  36325888721 2   2   0   None       15:01:00     15:01:00     executed
16:02:00 s    5.31   36328324757 2   2   0   None       None         16:03:13     executed
19:06:58 s    5.32   36334824992 2   2   0   None       None         19:07:44     executed
14:59:33 b    5.304  36325932622 2   2   0   None       None         15:00:05     executed
14:59:34 s    5.31   36325933455 2   2   0   None       15:01:33     15:02:00     executed
16:02:02 s    5.31   36328325904 2   2   0   None       None         16:03:13     executed
19:06:59 s    5.32   36334825279 2   2   0   None       None         19:07:44     executed
15:01:39 b    5.31   36326023367 2   2   0   None       None         15:02:00     executed
15:01:41 s    5.316  36326023970 2   2   0   None       15:04:22     15:05:00     executed
16:02:03 s    5.316  36328326664 2   2   0   None       16:42:29     16:43:04     executed
19:07:00 s    5.32   36334826442 2   2   0   None       None         19:07:44     executed
15:04:34 b    5.32   36326183854 2   2   0   None       None         15:05:00     executed
15:04:36 s    5.32   36326184750 2   2   0   None       18:01:01     18:01:58     executed
16:02:04 s    5.32   36328327227 2   2   0   None       18:01:01     18:01:58     executed
19:07:02 s    5.32   36334826940 2   2   0   None       None         19:07:44     executed
15:06:14 b    5.32   36326271056 2   2   0   None       None         15:06:55     executed
15:06:16 s    5.324  36326272593 2   2   0   None       18:45:11     None         executed
16:02:06 s    5.324  36328328183 2   2   0   None       18:45:11     None         executed
19:07:03 s    5.324  36334827337 2   2   0   None       19:17:25     19:18:00     executed
15:07:02 b    5.32   36326303470 2   2   0   None       None         15:07:56     executed
15:07:03 s    5.32   36326304954 2   2   0   None       18:01:01     18:01:58     executed
