qbuy=2344, qsell=1728, result=-1.036
time     oper price  sellorderid q   qd  qr  canceltime
10:23:51 b    5.18   36051278796 40  40  0   03:00:00
10:23:11 s    5.178  36051232771 40  40  0   03:00:00
10:23:09 b    5.18   36051230772 40  40  0   03:00:00
10:23:01 s    5.184  36051217775 40  0   40  18:39:35
10:23:00 b    5.18   36051215348 40  40  0   03:00:00
10:22:59 s    5.184  36051214658 2   0   2   13:00:03
10:22:58 b    5.18   36051213208 2   2   0   03:00:00
10:21:59 s    5.19   36051149132 2   0   2   13:00:02
10:21:57 b    5.19   36051147843 2   2   0   03:00:00
10:20:52 s    5.194  36051092308 2   0   2   13:00:02
10:20:50 b    5.19   36051090801 2   2   0   03:00:00
10:19:40 s    5.19   36051030154 2   2   0   03:00:00
10:19:39 b    5.19   36051028781 2   2   0   03:00:00
10:19:17 s    5.192  36051008040 40  0   40  18:39:34
10:19:16 b    5.188  36051006269 40  40  0   03:00:00
10:19:07 s    5.196  36050999139 40  0   40  18:39:34
10:19:06 b    5.192  36050997616 40  40  0   03:00:00
10:18:58 s    5.192  36050990386 40  0   40  18:39:33
10:18:56 b    5.19   36050988996 40  40  0   03:00:00
10:15:34 s    5.196  36050778043 40  0   40  18:39:33
10:15:32 b    5.192  36050774993 40  40  0   03:00:00
10:15:20 s    5.194  36050758877 2   0   2   13:00:02
10:15:18 b    5.19   36050757194 2   2   0   03:00:00
10:14:39 s    5.19   36050714918 2   2   0   03:00:00
10:14:37 b    5.184  36050713883 2   2   0   03:00:00
10:14:37 s    5.188  36050713235 40  40  0   03:00:00
10:14:35 b    5.832  36050711272 40  0   40  10:14:35
10:13:09 s    5.184  36050622866 2   2   0   03:00:00
10:13:09 s    5.184  36050622690 40  40  0   03:00:00
10:13:08 b    5.184  36050621349 2   2   0   03:00:00
10:13:07 b    5.184  36050621017 40  40  0   03:00:00
10:12:49 s    5.19   36050603573 2   2   0   03:00:00
10:12:48 b    5.184  36050602515 2   2   0   03:00:00
10:12:47 s    5.188  36050601910 40  40  0   03:00:00
10:12:46 b    5.184  36050600347 40  40  0   03:00:00
10:12:41 s    5.184  36050595222 2   2   0   03:00:00
10:12:40 b    5.184  36050593977 2   2   0   03:00:00
10:12:38 s    5.184  36050591638 40  40  0   03:00:00
10:12:36 b    5.184  36050590067 40  40  0   03:00:00
10:11:41 s    5.188  36050528507 40  40  0   03:00:00
10:11:40 b    5.184  36050526974 40  40  0   03:00:00
10:11:40 s    5.19   36050526853 2   2   0   03:00:00
10:11:38 b    5.184  36050525522 2   2   0   03:00:00
10:11:31 s    5.184  36050518255 2   2   0   03:00:00
10:11:30 b    5.832  36050516739 2   0   2   10:11:30
10:11:26 s    5.184  36050512210 40  40  0   03:00:00
10:11:24 b    5.18   36050510281 40  40  0   03:00:00
10:11:22 s    5.19   36050507754 2   2   0   03:00:00
10:11:21 b    5.18   36050506471 2   2   0   03:00:00
10:09:42 s    5.2    36050395816 40  0   40  18:39:32
10:09:41 b    5.198  36050394237 40  40  0   03:00:00
10:09:38 s    5.2    36050391592 2   0   2   13:00:02
10:09:37 b    5.2    36050390181 2   2   0   03:00:00
10:08:59 s    5.204  36050343968 2   0   2   13:00:01
10:08:58 b    5.2    36050342781 2   2   0   03:00:00
10:08:55 s    5.204  36050339511 40  0   40  18:39:32
10:08:54 b    5.2    36050337838 40  40  0   03:00:00
10:07:00 s    5.2    36050174776 40  0   40  18:39:32
10:06:58 b    5.196  36050168875 40  40  0   03:00:00
10:06:57 s    5.2    36050164752 2   0   2   18:45:01
10:06:55 b    5.196  36050160160 2   2   0   03:00:00
10:05:01 s    5.196  36049977252 2   2   0   03:00:00
10:04:59 b    5.19   36049973984 2   2   0   03:00:00
10:04:58 s    5.194  36049972180 40  40  0   03:00:00
10:04:57 b    5.19   36049969949 40  40  0   03:00:00
10:04:10 s    5.188  36049896922 40  40  0   03:00:00
10:04:10 s    5.19   36049896408 2   2   0   03:00:00
10:04:09 b    5.186  36049894657 40  40  0   03:00:00
10:04:08 b    5.184  36049894552 2   2   0   03:00:00
10:03:05 s    5.184  36049804139 2   2   0   03:00:00
10:03:03 b    5.184  36049802120 2   2   0   03:00:00
10:03:02 s    5.184  36049800094 40  40  0   03:00:00
10:03:00 b    5.184  36049797119 40  40  0   03:00:00
10:02:40 s    5.188  36049767705 40  40  0   03:00:00
10:02:38 b    5.184  36049765841 40  40  0   03:00:00
10:02:36 s    5.19   36049761803 2   2   0   03:00:00
10:02:34 b    5.184  36049760004 2   2   0   03:00:00
10:01:08 s    5.184  36049607285 2   2   0   03:00:00
10:01:07 b    5.18   36049603617 2   2   0   03:00:00
10:01:05 s    5.2    36049600392 9   0   9   13:00:01
10:00:34 s    5.184  36049494724 40  40  0   03:00:00
10:00:33 b    5.18   36049489389 40  40  0   03:00:00
10:00:31 s    5.202  36049484360 310 0   310 18:39:31
